# Dataset: Stradario regione Umbria Sept 2025;;;
# Source: https://www.anncsu.gov.it/it/consultazione-dellarchivio/open-data/Accedi-ai-servizi-di-dowload-massivo-in-Open-data/;;;
name;ID;locality;municipality
VOCABOLO VOC. CELVIE;1061325;;Allerona
VOCABOLO VOC. CERCOLETO;1061327;;Allerona
VOCABOLO VOC. CLORMINO;1061329;;Allerona
VOCABOLO VOC. FABBRICHE;1061346;;Allerona
VOCABOLO VOC. FALLO;1061456;;Allerona
VOCABOLO VOC. FARGNETA;1061427;;Allerona
VOCABOLO VOC. FATTORIA CASA NUOVA;1061428;;Allerona
VOCABOLO VOC. FAUSTINA;1061497;;Allerona
VOCABOLO VOC. FONTACCE;1061347;;Allerona
VOCABOLO VOC. FONTALONE;1061348;;Allerona
VOCABOLO VOC. FONTANA;1061429;;Allerona
VOCABOLO VOC. FORNACCIO;1061494;;Allerona
VOCABOLO VOC. FORNACE;1061349;;Allerona
VOCABOLO VOC. GINESTRETO;1061430;;Allerona
VOCABOLO VOC. GOVERNO;1061498;;Allerona
VOCABOLO VOC. GRANARO;1061454;;Allerona
VOCABOLO VOC. GRANCIARE;1061431;;Allerona
VOCABOLO VOC. LA CASA;1061360;;Allerona
VOCABOLO VOC. LA CASINA;1061491;;Allerona
VOCABOLO VOC. LE CASE;1061478;;Allerona
VOCABOLO VOC. LE MONACHE;1061361;;Allerona
VOCABOLO VOC. LEPRARA;1061432;;Allerona
VOCABOLO VOC. MADONNA DEL POGGIO;1061363;;Allerona
VOCABOLO VOC. MADONNA DEL TUFO;1061433;;Allerona
VOCABOLO VOC. MEANA;1061496;;Allerona
VOCABOLO VOC. MEANELLA;1061365;;Allerona
VOCABOLO VOC. MEANELLINO;1061465;;Allerona
VOCABOLO VOC. MENSAGNE;1061436;;Allerona
VOCABOLO VOC. MEZZACOSTA;1061481;;Allerona
VOCABOLO VOC. MOLINELLO;1061367;;Allerona
VOCABOLO VOC. MOLINO DI CELVIE;1061368;;Allerona
VOCABOLO VOC. MOLINO DI PAGLIA;1061493;;Allerona
VOCABOLO VOC. MONTARCIANO;1061437;;Allerona
VOCABOLO VOC. MONTEGUIZZO;1061459;;Allerona
VOCABOLO VOC. MONTEMORO;1061502;;Allerona
VOCABOLO VOC. MONTEREGOLE;1061438;;Allerona
VOCABOLO VOC. MONTICCHI;1061369;;Allerona
